1	119	25
8	84	66
9	155	71
18	40	101
19	108	110
20	196	90
31	67	135
43	23	172
57	55	212
44	123	193
32	164	160
33	242	146
21	282	126
58	151	223
45	192	208
46	255	187
47	306	176
73	55	251
59	172	246
60	209	241
61	275	250
62	309	236
74	88	293
75	138	278
76	197	275
77	239 307
78	288	298
79	325	294
92	28	325
93	33	354
94	94	340
95	123	337
96	272	358
97	307	347
98	342	334
99	384	339
110	366	362
109	318	406
111	393	400
112	415	386
125	437	420
131	452	442
132	533	437
113	483	384
100	456	359
80	409	310
63	393	282
48	358	210
34	370	160
10	364	66
2	304	14
3	422	16
4	494	9
5	782	19
6	873	17
7	964	22
11	418	78
12	462	67
13	546	62
14	631	48
15	718	40
16	802	70
17	958	98
30	988	110
22	423	140
23	490	102
24	597	107
25	645	118
26	713	65
27	726	109
28	756	92
29	873	118
42	960	156
56	994	204
91	982	286
107	998	343
106	952	342
90	912	286
105	889	330
89	859 285
71	865	237
55	876	195
88	832	310
87	800	304
70	796	236
54	789	194
41	776	157
40	743	168
53	752	207
39	665	136
52	695	173
69	716	224
86	726	284
104	729	317
38	620	148
51	644	189
68	655	228
85	659	259
103	668	291
38	622 146
37	522 139
50	546	180
67	584	244
84	615	272
102	612	294
83	570	294
66	530	251
49	496	212
36	474	182
35	444	178
48	385	212
63	392	280
64	444	272
65	494	260
115	609	345
82	502	302
101	527	330
81	478	322
80	408	310
100	453	358
113	484	385
125	436	420
131	452	439
132	530	436
126	570	396
130	418	465
139	410	496
140	530	488
154	457	533
153	375	554
155	488	570
156	546	570
169	547	610
184	505	650
168	464	621
167	436	599
166	360	583
183	413	612
196	436	666
197	444	710
195	374	704
182	362	640
181	332	632
193	318	683
194	334	706
152	354	523
151	322	548
150	300	526
138	333	494
124	306	464
180	278	643
165	260	606
149	248	542
123	233	478
137	194	520
148	206	546
179	223	636
147	155	554
164	165	592
178	136	624
191	167	678
192	180	741
190	109	726
163	114	591
146	120	564
122	110	481
121	61	486
120	26	484
145	72	568
144	34	570
177	62	630
176	20	642
189	63	702
185	570	693
170	585	616
157	593	573
133	622	478
127	661	418
116	728	389
117	808	420
108	872	402
119	974	454
136	952	518
162	996	563
175	990	652
174	943	618
161	904	564
160	838	570
173	854	642
171	885	726
199	828	741
188	818	660
186	633	679
159	676	651
158	673	540
141	647	495
134	687	457
118	730	438
129	802	446
142	728	510
135	833	471
143	803	502
128	777	560
172	752	612
187	726	658
198	673	746
72	938	242
114	533	370
